2025-03-22 10:10:51.036 | INFO     | __main__:main:60 - STARTING data_prep.py
2025-03-22 10:10:51.037 | INFO     | __main__:main:61 - ======================
2025-03-22 10:10:51.038 | INFO     | __main__:main:63 - ========================
2025-03-22 10:10:51.039 | INFO     | __main__:main:64 - Starting CUSTOMERS prep
2025-03-22 10:10:51.040 | INFO     | __main__:main:65 - ========================
2025-03-22 10:10:51.084 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\customers_data_prepared.csv
2025-03-22 10:10:51.085 | INFO     | __main__:main:85 - ========================
2025-03-22 10:10:51.085 | INFO     | __main__:main:86 - Starting PRODUCTS prep
2025-03-22 10:10:51.086 | INFO     | __main__:main:87 - ========================
2025-03-22 10:10:51.110 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\products_data_prepared.csv
2025-03-22 10:10:51.112 | INFO     | __main__:main:103 - ========================
2025-03-22 10:10:51.113 | INFO     | __main__:main:104 - Starting SALES prep
2025-03-22 10:10:51.115 | INFO     | __main__:main:105 - ========================
2025-03-22 10:10:51.162 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\sales_data_prepared.csv
2025-03-22 10:10:51.163 | INFO     | __main__:main:124 - ======================
2025-03-22 10:10:51.163 | INFO     | __main__:main:125 - FINISHED data_prep.py
2025-03-22 10:10:51.164 | INFO     | __main__:main:126 - ======================
2025-03-22 10:18:02.007 | INFO     | utils.logger:<module>:39 - Logging to file: logs\project_log.log
2025-03-22 10:18:02.010 | INFO     | __main__:main:59 - ======================
2025-03-22 10:18:02.011 | INFO     | __main__:main:60 - STARTING data_prep.py
2025-03-22 10:18:02.012 | INFO     | __main__:main:61 - ======================
2025-03-22 10:18:02.013 | INFO     | __main__:main:63 - ========================
2025-03-22 10:18:02.014 | INFO     | __main__:main:64 - Starting CUSTOMERS prep
2025-03-22 10:18:02.014 | INFO     | __main__:main:65 - ========================
2025-03-22 10:18:02.049 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\customers_data_prepared.csv
2025-03-22 10:18:02.050 | INFO     | __main__:main:85 - ========================
2025-03-22 10:18:02.052 | INFO     | __main__:main:86 - Starting PRODUCTS prep
2025-03-22 10:18:02.053 | INFO     | __main__:main:87 - ========================
2025-03-22 10:18:02.078 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\products_data_prepared.csv
2025-03-22 10:18:02.080 | INFO     | __main__:main:103 - ========================
2025-03-22 10:18:02.081 | INFO     | __main__:main:104 - Starting SALES prep
2025-03-22 10:18:02.082 | INFO     | __main__:main:105 - ========================
2025-03-22 10:18:02.136 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\sales_data_prepared.csv
2025-03-22 10:18:02.137 | INFO     | __main__:main:124 - ======================
2025-03-22 10:18:02.137 | INFO     | __main__:main:125 - FINISHED data_prep.py
2025-03-22 10:18:02.144 | INFO     | __main__:main:126 - ======================
2025-03-22 10:19:06.421 | INFO     | utils.logger:<module>:39 - Logging to file: logs\project_log.log
2025-03-22 10:19:06.424 | INFO     | __main__:main:59 - ======================
2025-03-22 10:19:06.425 | INFO     | __main__:main:60 - STARTING data_prep.py
2025-03-22 10:19:06.426 | INFO     | __main__:main:61 - ======================
2025-03-22 10:19:06.426 | INFO     | __main__:main:63 - ========================
2025-03-22 10:19:06.427 | INFO     | __main__:main:64 - Starting CUSTOMERS prep
2025-03-22 10:19:06.428 | INFO     | __main__:main:65 - ========================
2025-03-22 10:19:06.477 | INFO     | __main__:save_prepared_data:55 - Data saved to C:\Projects\smart-store-aaron\data\prepared\customers_data_prepared.csv
2025-03-22 10:19:06.478 | INFO     | __main__:main:85 - ========================
2025-03-22 10:19:06.480 | INFO     | __main__:main:86 - Starting PRODUCTS prep
2025-03-22 10:19:06.481 | INFO     | __main__:main:87 - ========================
